date,AOT,CCU,CTI,CWS,KDB,RGB,SDD,SLP,TSM,TUR
2022-09-27,,0.17003381,-0.018321544,,,,,,,
2022-09-28,,0.14887644,-0.015341269,,,,,,,
2022-09-29,,0.11065692,-0.009997118,,,,,,,
2022-09-30,,0.08670401,-0.0024537782,,,,,,,
2022-10-01,,0.11131297,0.0064449827,,,,,,,
2022-10-02,,0.094215296,0.01501135,,,,,,,
2022-10-03,,0.053252716,0.020798692,,,,,,,
2022-10-04,,0.06352575,0.021306494,,,,,,,
2022-10-05,,0.1323969,0.015219199,,,,,,,
2022-10-06,,0.13670124,0.0037360666,,,,,,,
2022-10-07,,0.064520285,-0.009410687,,,,,,,
2022-10-08,,0.06269902,-0.019494135,,,,,,,
2022-10-09,,0.06627597,-0.02306084,,,,,,,
2022-10-10,,0.06560012,-0.019576063,,,,,,,
2022-10-11,,0.07744376,-0.0113530895,,,,,,,
2022-10-12,,0.08869078,-0.0022077132,,,,,,,
2022-10-13,,0.09102511,0.0044470434,,,,,,,
2022-10-14,,0.05847762,0.006921992,,,,,,,
2022-10-15,,0.057778977,0.005745827,,,,,,,
2022-10-16,,0.05379495,0.003026189,,,,,,,
2022-10-17,,0.073882684,0.0009435705,,,,,,,
2022-10-18,,0.08572499,0.00010557431,,,,,,,
2022-10-19,,0.05711371,-0.0007151011,,,,,,,
2022-10-20,,0.042572755,-0.0033863517,,,,,,,
2022-10-21,,0.06505544,-0.008500933,,,,,,,
2022-10-22,,0.068135,-0.014683904,,,,,,,
2022-10-23,,0.04285526,-0.019579088,,,,,,,
2022-10-24,,0.04010392,-0.021408768,,,,,,,
2022-10-25,,0.047228068,-0.019681912,,,,,,,
2022-10-26,,0.04421303,-0.0146855535,,,,,,,
2022-10-27,,0.040805686,-0.006790849,,,,,,,
2022-10-28,,0.043418124,0.0035353652,,,,,,,
2022-10-29,,0.04913627,0.015062213,,,,,,,
2022-10-30,,0.05228034,0.0253898,,,,,,,
2022-10-31,,0.0517341,0.031497713,,,,,,,
2022-11-01,,0.061883416,0.030808732,,,,,,,
2022-11-02,,0.080158375,0.022485131,,,,,,,
2022-11-03,,0.101845466,0.008236722,,,,,,,
2022-11-04,,0.108942635,-0.007893881,,,,,,,
2022-11-05,,0.09981793,-0.020640606,,,,,,,
2022-11-06,,0.06480291,-0.02590035,,,,,,,
2022-11-07,,0.046271104,-0.022705903,,,,,,,
2022-11-08,,0.0901642,-0.01355283,,,,,,,
2022-11-09,,0.043326274,-0.0028439083,,,,,,,
2022-11-10,,0.06725336,0.005562722,,,,,,,
2022-11-11,,0.05448925,0.009921787,,,,,,,
2022-11-12,,0.037131894,0.010642936,,,,,,,
2022-11-13,,0.063234046,0.009341678,,,,,,,
2022-11-14,,0.08554246,0.0076835556,,,,,,,
2022-11-15,,0.0636137,0.006441408,,,,,,,
2022-11-16,,0.030357294,0.0051354757,,,,,,,
2022-11-17,,0.08099334,0.002420511,,,,,,,
2022-11-18,,0.022052843,-0.0026838973,,,,,,,
2022-11-19,,0.11941846,-0.009605339,,,,,,,
2022-11-20,,0.15924542,-0.016172117,,,,,,,
2022-11-21,,0.13083418,-0.019880965,,,,,,,
2022-11-22,,0.07423715,-0.019359142,,,,,,,
2022-11-23,,0.035548903,-0.0147749055,,,,,,,
2022-11-24,,0.01643878,-0.006914569,,,,,,,
2022-11-25,,0.041671295,0.0035350902,,,,,,,
2022-11-26,,0.032067828,0.015726177,,,,,,,
2022-11-27,,0.053590335,0.027777871,,,,,,,
2022-11-28,,0.11642043,0.03640747,,,,,,,
2022-11-29,,0.046511542,0.03820141,,,,,,,
2022-11-30,,0.019158911,0.031339634,,,,,,,
2022-12-01,,0.04067825,0.016991418,,,,,,,
2022-12-02,,0.08100249,-0.0007599152,,,,,,,
2022-12-03,,0.09354005,-0.016368968,,,,,,,
2022-12-04,,0.0712038,-0.025071701,,,,,,,
2022-12-05,,0.046610035,-0.024867428,,,,,,,
2022-12-06,,0.03862205,-0.01742114,,,,,,,
2022-12-07,,0.03561902,-0.006962682,,,,,,,
