date,AOT,CCU,CTI,CWS,KDB,RGB,SDD,SLP,TSM,TUR
2022-06-01,,0.06171604691425691,,,,,,,,
2022-06-02,,0.04760406763651534,,,,,,,,
2022-06-03,,0.07932847048583869,,,,,,,,
2022-06-04,,0.0680350495968014,,,,,,,,
2022-06-05,,0.05491192852393913,,,,,,,,
2022-06-06,,0.054306067065398735,,,,,,,,
2022-06-07,,0.06217507310715076,,,,,,,,
2022-06-08,,0.0573075014839855,,,,,,,,
2022-06-09,,0.15304186386433807,,,,,,,,
2022-06-10,,0.2022411664192741,,,,,,,,
2022-06-11,,0.1971977391859164,,,,,,,,
2022-06-12,,0.14831162249115673,,,,,,,,
2022-06-13,,0.049514843654390926,,,,,,,,
2022-06-14,,0.06752281688229256,,,,,,,,
2022-06-15,,0.09888765581480756,,,,,,,,
2022-09-01,,,-0.014234663103707135,,,,,,,
2022-09-02,,,-0.010238509976015603,,,,,,,
2022-09-03,,,-0.003574130766340917,,,,,,,
2022-09-04,,,0.0046191516450710115,,,,,,,
2022-09-05,,,0.011769887613194736,,,,,,,
2022-09-06,,,0.014894777606624868,,,,,,,
2022-09-07,,,0.012232600077933623,,,,,,,
2022-09-08,,,0.004507803700550072,,,,,,,
2022-09-09,,,-0.005164618948387018,,,,,,,
2022-09-10,,,-0.012856973206146143,,,,,,,
2022-09-11,,,-0.01570638017791852,,,,,,,
2022-09-12,,,-0.013271572383117117,,,,,,,
2022-09-13,,,-0.007647265191760223,,,,,,,
2022-09-14,,,-0.0022591255678029534,,,,,,,
2022-09-15,,,2.5293839531219124e-05,,,,,,,
2023-11-20,,,,4.634062849813038,,,,,,
2023-11-21,,,,3.7049441503153906,,,,,,
2023-11-22,,,,8.352464622921413,,,,,,
2023-11-23,,,,7.798620674345228,,,,,,
2023-11-24,,,,6.3529450661606255,,,,,,
2023-11-25,,,,6.675878336032231,,,,,,
2023-11-26,,,,1.1172714811853237,,,,,,
2023-11-27,,,,3.493371261490716,,,,,,
2023-11-28,,,,2.6999563624461493,,,,,,
2023-11-29,,,,9.595570438437992,,,,,,
2023-11-30,,,,8.642964780330658,,,,,,
2023-12-01,,,,7.273203399446276,,,,,,
2023-12-02,,,,6.493288748794132,,,,,,
2023-12-03,,,,5.143721222877502,,,,,,
2023-12-04,,,,4.141447742780049,,,,,,
2024-01-02,0.19127495159974348,,,,0.12461660028082681,69.33435904608714,7.553833436120083,0.9642904418854272,1.0084453972491263,1.1006277059174638
2024-01-03,0.4198202333040197,,,,0.22849090467065067,219.01031498788507,4.294794874352924,0.8744311032152262,2.278905505649114,2.454059926130004
2024-01-04,0.19957983140227342,,,,0.14033051697162977,105.03464261358101,6.706883691335764,0.9547343254959924,1.1461346508592107,1.2479445431172975
2024-01-05,0.1261741570721432,,,,0.11904879715102602,41.14855933981397,7.97002204030584,0.9954364419840185,0.9331393948504753,1.0184210904828395
2024-01-06,0.18969580124024657,,,,0.11144951644315725,62.7852734456955,8.565663837077471,0.9699637648634717,0.9338498306976499,1.0188126071657593
2024-01-07,0.1549085685673637,,,,0.13824312008308162,83.96660609207338,7.071162323913452,0.9986011109485677,1.2338084562736296,1.3367280366670262
2024-01-08,0.17970329683796332,,,,0.12194352293367122,60.28451271392849,7.808195275591299,0.04789253557871323,1.1318403526169518,1.2310900154074869
2024-01-09,0.1370217860644915,,,,0.12446941376900822,47.39999300650395,7.5447706364678195,0.7382176221187745,0.9327492628256426,1.0197124200297345
2024-01-10,0.12346800302346574,,,,0.11110767459354352,39.22802293866704,8.56726378659682,0.5421878133989744,1.003027384394294,1.0941126361366413
2024-01-11,0.12922631003069104,,,,0.14060685081394114,62.82465385946694,6.608313645764623,0.963148732228438,1.095197290618884,1.196421027147066
2024-01-12,0.18924456195882117,,,,0.12618789859397972,83.8645958497061,7.557106011032864,0.6445464618428518,1.086482268311754,1.1833417032973799
2024-01-13,0.2701055790798245,,,,0.17742020577438175,78.23517653167185,5.566060659521715,0.9896422784000551,1.2532059821940273,1.3638832373774874
2024-01-14,0.1932210049978235,,,,0.11618257636345927,56.14192426043779,8.095761637601283,0.8312813097534396,1.0455172057471769,1.1414065746237372
2024-01-16,0.33944952170578463,,,,0.14331391769538568,107.67222358206868,6.653794907678013,0.6965106752643159,1.2411289639709597,1.3508772084150165
2024-01-17,0.261187502549737,,,,0.16303067216632783,79.71387158186224,6.511700034180329,0.9999584488217089,1.2193959122662557,1.3203347201774944
